Affiliation,Percentage of authors,Authors
PFS Internet Development Pty,0.01%,1
PG&E,0.01%,1
PGP Corp.,0.01%,1
PGP Corporation,0.02%,2
PGPKeys.EU,0.01%,1
Phase2 Software Corporation,0.01%,1
Phenome Networks,0.01%,1
Philips,0.02%,3
Philips Electronics,0.02%,3
Philips IP&S,0.01%,1
Philips Lighting,0.02%,2
Philips Lighting Research,0.01%,1
Philips Research,0.06%,8
Philips Research Laboratories,0.01%,1
Philips Semiconductors,0.01%,1
Phoenix R&D,0.02%,2
Phoenix Technologies,0.01%,1
PhoneFactor,0.02%,2
PhoneFromHere.com,0.01%,1
Photonex,0.01%,1
PhotonEx Corp,0.01%,1
Photuris,0.02%,2
Phresheez,0.01%,1
Physikalisch-Technische Bundesanstalt,0.02%,2
Physikalisch-Technische Bundesanstalt,0.02%,2
Physikalisch-Technische Bundesanstalt (PTB),0.01%,1
picosNet Corp/Ajou Univ.,0.01%,1
PictureTel,0.02%,2
Piermont,0.01%,1
Pierre Francois,0.01%,1
Pim Vanheuven,0.01%,1
Ping,0.03%,4
Ping Identity,0.04%,5
Ping Identity Corp.,0.01%,1
Ping Pan,0.01%,1
PingID,0.02%,2
Pingtel,0.02%,2
Pingtel Corp.,0.02%,2
Pingtel Corporation,0.01%,1
Pioneer,0.01%,1
Pipal Systems,0.02%,2
Pittsburgh Supercomputing Center,0.04%,5
Pivotal,0.02%,2
Pivotal Software,0.01%,1
PJIIT,0.02%,3
Planet Labs,0.01%,1
Planetfred,0.01%,1
Plantronics,0.02%,2
Plantrontics,0.01%,1
Plaxo,0.01%,1
Plex,0.01%,1
Pluribus Networks,0.01%,1
Pluris,0.02%,2
PMC-Sierra,0.05%,6
pobox.com,0.01%,1
Point6,0.02%,2
Polaris Networks,0.01%,1
PolicyConsulting,0.01%,1
PolicyConsulting.Com,0.01%,1
Polish-Japanese Institute,0.02%,2
Politecnico di Milano,0.04%,5
Politecnico di Bari,0.05%,7
Politecnico di Bari (DEI),0.01%,1
Politecnico di Milano,0.01%,1
Politecnico di Torino,0.07%,9
PoliTO,0.01%,1
Pollere,0.01%,1
Pollere LLC,0.02%,2
Polycom,0.06%,8
Polytechnic University,0.02%,2
Polytechnique Montreal,0.02%,2
Polythecnic Institute of NYU,0.01%,1
Polyverse Security,0.01%,1
Pompeu Fabra University,0.01%,1
Port 179,0.01%,1
Port111 Labs.,0.01%,1
Portage,0.01%,1
Porticor,0.01%,1
Portland State Univ.,0.01%,1
Portland State University,0.02%,2
Portola Networks,0.01%,1
Portugal Telecom,0.02%,2
Portwise,0.01%,1
Post Luxembourg,0.01%,1
Post-Quantum,0.02%,2
Postman,0.01%,1
PowerDNS,0.02%,2
PowerDNS.COM B.V.,0.02%,2
PowerDsine,0.01%,1
Poznan University of Technology,0.03%,4
PPE Consulting,0.01%,1
PPLive,0.01%,1
"PPS, University of Paris-Diderot",0.02%,3
PQShield,0.02%,3
Praerit Garg,0.01%,1
Pragmatic Web Security,0.01%,1
Prakash Iyer,0.01%,1
Pranjal Kumar Dutta,0.01%,1
Precept Software,0.02%,3
Predictive Systems,0.01%,1
Preferred Networks / WIDE Project,0.01%,1
"Preferred Networks, Inc. / WIDE Project",0.01%,1
Preston & Lynch,0.01%,1
prettydiff.com,0.01%,1
PricewarterhouseCoopers,0.01%,1
Primary Data,0.02%,2
PrimaryData,0.01%,1
Prime Tel,0.01%,1
PrimeTel,0.01%,1
Princeton,0.02%,2
Princeton University,0.05%,7
PRiSM Lab UVSQ,0.02%,2
Prismtech,0.01%,1
Private,0.02%,2
Private Consultant,0.01%,1
Private Contributer,0.01%,1
Private Contributor,0.01%,1
Private Octopus,0.01%,1
Process Software Corporation,0.02%,2
Procket,0.01%,1
Procket Networks,0.06%,8
Procter & Gamble,0.01%,1
ProCurve Networking by HP,0.02%,2
Produx House,0.01%,1
Prof.Kamakoti Veezhinathan,0.02%,2
Professional writer,0.01%,1
Proficient Networks,0.01%,1
Project Hipercom,0.02%,2
Project JXTA,0.01%,1
Project Xanadu,0.01%,1
Projet.FRA,0.01%,1
Proofpoint,0.01%,1
ProSapien,0.01%,1
Prose Consulting,0.01%,1
Protegga,0.01%,1
Proteon,0.02%,2
Protiviti Government Services,0.04%,5
Proto6,0.01%,1
Protocol Labs,0.05%,7
ProtocolLabs,0.01%,1
Proton AG,0.02%,2
Provin Gurung,0.01%,1
Proximetry,0.01%,1
Proximus,0.01%,1
PS&E,0.01%,1
PSC,0.02%,3
PSC International,0.01%,1
PSL,0.01%,1
PT Taylor Consulting,0.01%,1
PTB,0.02%,2
Public Access Publications,0.01%,1
Public Interest Registry,0.01%,1
public project,0.01%,1
Pulse Secure,0.02%,2
Pulver,0.01%,1
pulver.com,0.01%,1
Purdue University,0.02%,2
Purdue University Computer Science,0.01%,1
PureEdge Solutions,0.01%,1
puremagic.com,0.01%,1
"Purple Mountain Laboratories, China",0.02%,2
Purple Moutain Laborotary,0.01%,1
Purple Streak Dev.,0.01%,1
Purple Streak Development,0.01%,1
Pusan National University,0.01%,1
PuTTY,0.01%,1
pwnedkeys.com,0.01%,1
Q2S,0.01%,1
QA Cafe,0.01%,1
Qbik New Zealand,0.01%,1
QFactor,0.01%,1
QinetiQ,0.02%,2
QLogic,0.01%,1
Qlogic Corp.,0.01%,1
QLogic Corporation,0.01%,1
QoSient,0.01%,1
QoSmetrics,0.01%,1
Qosmos,0.02%,2
Qrator Labs,0.03%,4
Qrator Labs & Yandex,0.01%,1
QSSL,0.01%,1
Quad9,0.01%,1
Quadrille Ingenierie,0.01%,1
Qualcomm,0.38%,51
Qualcomm (QCE),0.01%,1
Qualcomm CDMA Technologies,0.01%,1
Qualcomm Europe,0.01%,1
Qualcomm Flarion Technologies,0.02%,2
Qualcomm Germany,0.01%,1
Qualcomm Incorporated,0.09%,12
Qualcomm Innovation Center,0.01%,1
Qualcomm Technologies,0.13%,17
"QUALCOMM, Incorporated",0.02%,2
Quant Network,0.01%,1
Quantonium,0.01%,1
Quantum,0.01%,1
Quantum Bridge Technologies,0.02%,2
Quantum Corporation,0.01%,1
Quantum Secret,0.01%,1
Quarkslab,0.01%,1
Quarry Technologies,0.02%,2
QuarryTech,0.01%,1
Queen Mary,0.02%,2
Queen's University,0.01%,1
Queen's University Belfast,0.01%,1
Queensland University of,0.01%,1
Queensland University of Technology,0.01%,1
Quobis,0.02%,3
QUT,0.01%,1
QuTech,0.02%,3
"QuTech, Delft University of Technology",0.02%,3
Qwest,0.01%,1
Qwest Communications,0.02%,3
Qwilt,0.03%,4
R. Altman,0.01%,1
R. Barrato,0.01%,1
R. Desetti,0.02%,2
R. Droms,0.01%,1
R. Lohiya,0.01%,1
R. Marin,0.02%,2
R. McKenzie,0.01%,1
R. Raszuk,0.01%,1
R.I.T.,0.01%,1
RABA Technologies,0.01%,1
RABT,0.01%,1
Rackspace,0.02%,2
RAD,0.01%,1
RAD Data Communications,0.08%,10
Radboud University,0.02%,3
Radboud University and MPI-SP,0.01%,1
Radio Mobile Access,0.01%,1
RadiSys,0.02%,3
RADVISION,0.05%,6
Radware,0.02%,3
RAFT Corporation,0.01%,1
Raghu Reddy,0.01%,1
Rain Willow Communications,0.01%,1
RainbowBridge Communications,0.01%,1
Rainfarm,0.02%,2
Rainfinity,0.01%,1
Rainwillow,0.01%,1
Rajeev Koodli,0.01%,1
Rakuten,0.02%,3
Rakuten Mobile,0.01%,1
Rakuten Symphony,0.01%,1
Rambus Cryptography Research,0.01%,1
Ramesh Nagarjan UUNet/WorldCom,0.01%,1
Ranch Networks,0.01%,1
Randall Consulting,0.01%,1
Rankom,0.01%,1
RARE Secretariat,0.01%,1
Rational Software,0.01%,1
Rationel Almen Planlaegning,0.01%,1
Rawflow,0.01%,1
Raytheon,0.02%,2
Raytheon BBN,0.01%,1
Raytheon BBN Technologies,0.03%,4
Razoom,0.01%,1
RCI,0.01%,1
"RCIS, AIST",0.01%,1
RCS&RDS,0.02%,2
RD-IPtech,0.01%,1
RDBMSMIB Working Group Chair,0.01%,1
REA,0.01%,1
Real-Time Innovations,0.01%,1
Real-Time Text Taskforce,0.01%,1
RealNames Corp.,0.02%,2
RealNames Corporation,0.01%,1
RealNetworks,0.02%,3
RealVNC,0.02%,3
RealVNC Ltd.,0.01%,1
Reaper Technologies,0.01%,1
Reasearch China Academy of Information and Communications,0.02%,2
Rebellion,0.01%,1
Red Back,0.01%,1
Red Barn,0.01%,1
Red Hat,0.21%,28
Red Hat Asia-Pacific Pty,0.01%,1
Red Hound Software,0.01%,1
Redback,0.02%,2
Redback Networks,0.17%,23
Redbit Networks,0.01%,1
RedCreek,0.01%,1
RedCreek Communications,0.02%,2
Redeem,0.01%,1
Redeem Software,0.01%,1
Redes de Interconexion,0.01%,1
Redhat,0.03%,4
RedPhone Security,0.01%,1
Redpill Linpro,0.01%,1
RedSky,0.01%,1
Reef Point,0.02%,2
Reef Point Systems,0.01%,1
Refactored Networks,0.01%,1
Refinitiv,0.01%,1
Regenstrief Institute,0.02%,2
Registro,0.01%,1
Registro.br,0.02%,2
Regtime,0.01%,1
Regumi,0.01%,1
Reiji Aibara,0.01%,1
Reliably Coded,0.01%,1
Reliance,0.01%,1
Reliance Jio,0.02%,3
Reliance Jio Infocomm Limited,0.01%,1
Renault,0.02%,2
Renesas Mobile,0.02%,3
Renmin University of China,0.01%,1
Rensselaer Polytechnic Institute,0.01%,1
Republic Polytechnic,0.01%,1
Request for Comments,0.05%,7
Research Center for Natural Hazard,0.02%,2
Research Computer Center MSU,0.01%,1
Research Consultant,0.01%,1
Research in Motion,0.03%,4
Research In Motion Corporation,0.01%,1
Research In Motion Limited,0.01%,1
Research in Motion UK,0.01%,1
"Research Institute CODE, UniBw M",0.01%,1
"Research Institute CODE, UniBwM",0.01%,1
Research Institute of Tsinghua University in Shenzhen,0.01%,1
Research Lab,0.01%,1
Research Laboratory,0.01%,1
Researcher,0.02%,2
Resiliens Communication AS,0.01%,1
ResMed,0.01%,1
Resolute Networks,0.01%,1
Resonate,0.01%,1
RESTENA,0.01%,1
Restrena,0.01%,1
Retevia,0.01%,1
Retired,0.05%,7
Return Path,0.01%,1
Reuters,0.01%,1
Reuters Health Information,0.01%,1
Reuters Limited,0.01%,1
Reva Systems Corp,0.01%,1
Revelstone Software,0.01%,1
RFC,0.02%,3
RFC Editor,0.02%,2
RFC Production Center,0.02%,3
RFC Series,0.01%,1
RFC Series Consulting Editor,0.01%,1
RFG Security,0.01%,1
RGnet,0.01%,1
Rhodes University,0.01%,1
Rhustone Corporation,0.01%,1
Rhyolite Software,0.01%,1
Ribbon Communication,0.02%,2
Ribbon Communications,0.02%,3
Ribose,0.05%,7
Rice University,0.02%,3
Richard D.,0.01%,1
Ricoh Company,0.01%,1
Ridgeway Systems & Software,0.01%,1
RightMesh,0.01%,1
Rightside Group,0.01%,1
RIM,0.01%,1
Rincon,0.01%,1
Rincon Networks,0.01%,1
RIPE,0.02%,2
RIPE NCC,0.17%,22
RIPE Network Coordination Centre,0.01%,1
RIPE NNWG,0.01%,1
RIPE/NCC,0.02%,2
RIPENCC,0.01%,1
Riphah Institute of Systems Engineering,0.02%,3
Ripple,0.03%,4
RISE,0.04%,5
RISE AB,0.03%,4
RISE SICS,0.04%,5
RISE SICS AB,0.04%,5
"RISEC, AIST",0.02%,2
RIST,0.02%,2
Ritsumeikan University,0.01%,1
Rivcom,0.01%,1
Riverbed,0.01%,1
Riverbed Technology,0.01%,1
Riveronce,0.01%,1
Riverstone Networks,0.05%,7
Rivian Automotive,0.01%,1
RKF Engineering,0.01%,1
RKF Engineering Solutions,0.01%,1
RMR,0.02%,2
RMRL,0.01%,1
RNID,0.02%,2
"RNID, Department of New",0.01%,1
Roaring Penguin,0.01%,1
Roaring Penguin Software,0.01%,1
Rob Elliott,0.01%,1
Robin Li,0.01%,1
Robin.Li,0.02%,2
Robinson Telephone Co.,0.01%,1
Roblox,0.01%,1
Robust Perception,0.01%,1
Rochester Institute of Technology,0.02%,2
Rod Mullendore,0.01%,1
Rogers,0.01%,1
Rogers Communications,0.03%,4
Rohati Systems,0.01%,1
Rohde & Schwarz,0.01%,1
Roke,0.02%,2
Roke Manor Research,0.03%,4
Roland Computing Services,0.01%,1
Rome Tor Vergata University,0.01%,1
Ronin Institute,0.01%,1
ROOT,0.01%,1
Rostelecom,0.01%,1
RouterWare,0.01%,1
RoutingLoop,0.01%,1
Rowan University,0.01%,1
Royal Bank of Canada,0.01%,1
Royal Danish Library,0.01%,1
Royal Holloway,0.01%,1
"Royal Holloway, University of London",0.01%,1
Royal Institute of Technology,0.02%,3
Rozanak,0.02%,2
Rozanak.com,0.01%,1
RPI,0.01%,1
RSA,0.05%,6
RSA Data Security,0.03%,4
RSA Laboratories,0.05%,6
RSA Laboratories East,0.01%,1
RSA Security,0.07%,9
"RSA, Security Division of EMC",0.02%,2
"RSA, The Security Division of EMC",0.03%,4
RSIS,0.01%,1
RSL COM,0.01%,1
RtBrick,0.05%,6
RtBrick India,0.03%,4
RTFM,0.02%,2
RTFM llp,0.01%,1
Ruhr University Bochum,0.01%,1
Ruhr-Uni Bochum,0.01%,1
Ruijie,0.01%,1
Ruijie Network,0.01%,1
Ruijie Networks,0.03%,4
Ruijie Networks Co.,0.02%,3
"Ruijie Networks Co., Ltd.",0.01%,1
Runcom,0.01%,1
Rupy,0.01%,1
Rutgers University,0.04%,5
Rutgers University Computing Services,0.01%,1
RWTH Aachen,0.02%,3
RWTH Aachen University,0.08%,10
Rydal,0.01%,1
Ryerson University,0.01%,1
S-Terra,0.01%,1
S. Baek,0.01%,1
S. Carl-Mitchell,0.01%,1
S. Felix,0.02%,2
S. Felix Wu,0.01%,1
S. Jury,0.02%,3
S. McGeown,0.02%,2
S. Mena,0.02%,2
S. Russert,0.01%,1
S. Sato,0.01%,1
S. Sengodan,0.01%,1
S. Uhlig,0.01%,1
S. van den Bosch,0.01%,1
S.J.M. Steffann Consultancy,0.01%,1
S.V.University,0.01%,1
Saavis Communications,0.01%,1
Sabari Illam,0.01%,1
Sable Technology,0.01%,1
Sable Technology Corporation,0.01%,1
Sabre,0.01%,1
Sacramento State,0.01%,1
SafeNet,0.02%,3
Safenet Infotech Pvt,0.02%,2
Safespring AB,0.01%,1
Safety IO,0.02%,2
Saga University,0.01%,1
SAGEM S.A.,0.02%,2
SAIC,0.05%,6
SailPoint,0.01%,1
Sailpoint Technologies,0.01%,1
Saint Joseph's College,0.01%,1
SAIT,0.01%,1
Sakura Internet,0.01%,1
Salesforce,0.08%,11
Salesforce.com,0.03%,4
Salih. K.A,0.01%,1
Sally Floyd,0.01%,1
Salzburg Research,0.02%,3
Sam aldrin,0.02%,2
Samba Team,0.01%,1
SamKnows,0.01%,1
Samsung,0.13%,17
Samsung AIT,0.08%,11
Samsung Electronics,0.18%,24
Samsung Electronics America,0.02%,2
Samsung Electronics Co.,0.05%,7
Samsung India,0.01%,1
Samsung India Software Operations,0.02%,3
Samsung Information Systems America,0.01%,1
Samsung ISO,0.01%,1
Samsung Research,0.01%,1
Samsung Research America,0.01%,1
Samsung SDS,0.02%,2
Samsung Telecommunications America,0.02%,2
Samsung-AIT,0.01%,1
Samuelson Law,0.01%,1
SandboxAQ,0.04%,5
Sandburst,0.02%,3
Sandburst Corporation,0.01%,1
Sandelman Software,0.01%,1
Sandelman Software Works,0.01%,1
Sandflow Consulting,0.01%,1
Sandia National Laboratory,0.01%,1
Sandstorm Enterprises,0.01%,1
Sandvine,0.05%,6
Sanera Systems,0.02%,3
SANGMYUNG UNIVERSITY,0.03%,4
SANlight,0.01%,1
SANRAD,0.02%,2
Sanrad Intelligent Storage,0.01%,1
Santronics Software,0.01%,1
SAP AG,0.01%,1
SAP SE,0.01%,1
Saperix,0.01%,1
SARA,0.01%,1
Sateesh Kumar,0.01%,1
Sateliot,0.01%,1
SatLabs Group,0.03%,4
Saudi Telecom Company,0.01%,1
"SaudiNIC, CITC",0.01%,1
savecore.net,0.01%,1
Saveen Reddy,0.01%,1
SAVVIS,0.01%,1
SAVVIS Communications,0.01%,1
SBC,0.01%,1
SBC Communications,0.02%,2
SBC Labs,0.01%,1
SBC Technology Resources,0.02%,2
SBI,0.01%,1
Scarfone Cybersecurity,0.01%,1
Schallsoft,0.01%,1
Schneider Automation,0.01%,1
Schneider Electric,0.01%,1
Schneider-Electric,0.01%,1
School of Communication and,0.01%,1
School of Communication and and Information Engineering,0.01%,1
School of Computing Science,0.01%,1
"School of Cyber Science and Engineering, Sichuan University",0.01%,1
School of Electronic Engineering,0.04%,5
School of Global Studies,0.01%,1
Schrage Consulting,0.01%,1
SCION Association,0.02%,2
Scott R. Fluhrer,0.01%,1
SCTE,0.01%,1
Scuola Superiore S.Anna,0.01%,1
Scuola Superiore Sant'Anna,0.03%,4
SDSC,0.01%,1
Sea Street Technologies,0.01%,1
SeaChange,0.01%,1
SEACOM,0.01%,1
Seagate,0.01%,1
Sealance,0.01%,1
Seamoby Forum,0.01%,1
Seccom,0.01%,1
SECOM,0.02%,3
SECOM CO.,0.02%,3
"SECOM Co., Ltd. Intelligent System Laboratory",0.02%,2
Seconize,0.01%,1
Sectigo,0.01%,1
Sectigo (Europe) SL,0.01%,1
Section 13,0.01%,1
SECUDE,0.01%,1
Secunet,0.01%,1
secunet Security Networks,0.02%,3
secunet Security Networks AG,0.02%,2
secunet Security Networks AG,0.02%,3
secunet SwissIT AG,0.01%,1
Securax,0.01%,1
Secure Computing,0.01%,1
Secure Computing Corporation,0.01%,1
Secure Endpoints,0.01%,1
Secure Multicast Networks,0.01%,1
Secure Software,0.01%,1
"Secure Systems Engineering, deSEC",0.01%,1
Secure64 SW Corp,0.01%,1
SecureG,0.01%,1
SecureIT,0.01%,1
SecureOL,0.01%,1
SecureRF Corporation,0.01%,1
SecureWorks,0.01%,1
Securify,0.01%,1
Security & Standards,0.02%,2
Security and Standards,0.01%,1
Security Innovation,0.02%,2
Security Researcher,0.01%,1
Security Theory,0.01%,1
SecWorks Sweden AB,0.01%,1
Sedona,0.01%,1
Seeking affiliation,0.01%,1
Segment,0.01%,1
SEI/CMU,0.01%,1
Sejong University,0.01%,1
Self,0.06%,8
Self Employed,0.01%,1
Self-Issued Consulting,0.01%,1
Selfie Networks,0.01%,1
Sellnet Communications Pty,0.01%,1
Sembawang Media,0.01%,1
Semtech,0.02%,3
SENA S.A.,0.01%,1
Sendmail,0.01%,1
"Sendmail, Inc",0.05%,6
Senior Researcher,0.01%,1
Sensinode,0.01%,1
SenthilKumarS,0.01%,1
Sentry Software,0.01%,1
Seongho,0.01%,1
Seoul National University,0.11%,15
Sequent Computer Systems,0.01%,1
Sequoia PGP,0.02%,2
Sequoia-PGP,0.01%,1
"SERC, Melbourne",0.01%,1
Serendipity,0.01%,1
Serva,0.01%,1
Server Authority,0.01%,1
ServerVault,0.01%,1
SES ASTRA,0.01%,1
SETCCE,0.02%,3
SFR,0.02%,3
SFR/ALTICE,0.02%,2
SGEPRI,0.01%,1
SGI,0.01%,1
SGNL,0.01%,1
ShafTek Enterprises,0.01%,1
Shandong Computer Science Center,0.01%,1
Shandong Computing Science Center,0.01%,1
Shandong Institute of Big Data,0.01%,1
Shanghai Jiaotong University,0.03%,4
Shanghai Research Institute of,0.01%,1
Shanxi Univ.,0.01%,1
Sharp,0.01%,1
Sharp Laboratories,0.01%,1
Sharp Labs,0.01%,1
Shasta Networks,0.02%,2
Shaw Communications,0.01%,1
Shell,0.01%,1
Shenzhen Institute of Information Technology,0.01%,1
Shenzhen Olym Info. Security Tech.,0.01%,1
Shenzhen University,0.03%,4
Shibboleth Consortium,0.01%,1
Shinkuro,0.02%,3
shipcloud,0.01%,1
Shiva,0.01%,1
Shiva Corporation,0.01%,1
SHL Systemhouse,0.01%,1
Shockey Consulting,0.01%,1
Shooting Soul,0.01%,1
Shopify,0.01%,1
Shuai Gao,0.01%,1
Shuguang,0.01%,1
ShunWan Zhuang,0.01%,1
SI International,0.02%,2
SI6 Networks,0.02%,2
SI6 Networks/UTN-FRH,0.01%,1
SIAE,0.01%,1
Siara,0.01%,1
Siara Systems,0.03%,4
Sichuan University,0.01%,1
SICS,0.05%,6
SICS Swedish ICT,0.02%,2
SICS Swedish ICT AB,0.02%,3
"SICS, Stockholm",0.02%,2
"SICS, Swedish Institute of",0.01%,1
Sidewalk Software,0.01%,1
SIDN,0.02%,2
SIDN Labs,0.07%,9
SIDN Labs/TU Delft,0.01%,1
"SIE Europe, U.G.",0.01%,1
Siemens,0.25%,33
Siemens AG,0.21%,28
Siemens Atea,0.01%,1
Siemens Business Services,0.01%,1
Siemens Corporate Technology,0.02%,2
Siemens Enterprise,0.02%,3
Siemens Enterprise Communications,0.03%,4
Siemens Mobile,0.02%,2
Siemens n.v.,0.02%,2
Siemens Networks,0.01%,1
Siemens plc,0.01%,1
Siemens Roke Manor Research,0.02%,2
Siemens/Columbia U./Nortel Networks,0.02%,3
Siemens/RMR,0.01%,1
Siemens/Roke,0.01%,1
Siemens/Roke Manor,0.02%,3
Siemens/Roke Manor Research,0.05%,7
SIGFOX,0.02%,2
Sigma Designs,0.02%,2
Signalwire/Freeswitch,0.01%,1
Signatus Technologies,0.01%,1
SignIn.Org,0.01%,1
SignPuddle,0.01%,1
Sigrand,0.01%,1
SIL,0.01%,1
Silent Circle,0.02%,2
Silex Insight,0.01%,1
Silicon Circus,0.01%,1
Silicon Graphics,0.05%,6
Silicon Labs,0.01%,1
Siliquent Technologies,0.01%,1
Silver Spring Networks,0.01%,1
Silverflare,0.01%,1
SilverPlatter Information,0.01%,1
Silverscale Associates,0.01%,1
Simon Bryden,0.01%,1
Simon Fraser University,0.02%,2
Simon Josefsson Datakonsult AB,0.01%,1
Simula Metropolitan Centre for Digital Engineering,0.01%,1
Simula Research Lab,0.02%,2
Simula Research Laboratory,0.05%,6
Simula Research Laboratory AS,0.02%,2
SimulaMet,0.03%,4
Sine Nomine,0.02%,3
Sine Nomine Associates,0.01%,1
SiNett Corp,0.01%,1
SiNett Corp.,0.01%,1
Singapore Telecommunications,0.01%,1
Singapore Telecommunications Limited,0.01%,1
SingleDigits,0.01%,1
Singtel,0.01%,1
Singularis,0.01%,1
Singularity Networks,0.01%,1
Sinodun,0.02%,2
Sinodun Internet Technologies,0.02%,2
Sinodun IT,0.02%,3
SINTEF RUNIT,0.01%,1
SIP Communicator,0.01%,1
SIP Edge,0.01%,1
sip101,0.01%,1
SiPanda,0.01%,1
SIPeerior,0.02%,2
SIPeerior Technologies,0.02%,3
SIPeerior Technologies and William,0.01%,1
SIPez,0.01%,1
SipRadius,0.02%,2
SIPStation,0.01%,1
SISCO,0.01%,1
SITA,0.01%,1
SITA Equant,0.01%,1
SitePen (USA),0.01%,1
"SITI, University Lusofona",0.02%,2
SITRANS,0.01%,1
SJCE.NET,0.01%,1
SJD,0.01%,1
SJD AB,0.01%,1
SJTU,0.05%,6
SJWs R Us,0.01%,1
SK Telecom,0.04%,5
SK Telecom Co.,0.02%,2
SKELDUS,0.01%,1
SkiCal Consortium,0.01%,1
Skills 1st,0.01%,1
SKKU,0.01%,1
SKT,0.02%,2
Sky,0.01%,1
Sky Network Services,0.01%,1
Sky UK,0.02%,2
Skye Logicworks,0.01%,1
Skyelogicworks,0.01%,1
SkyFoundry,0.01%,1
Skygate Technology,0.01%,1
Skyhook Wireless,0.02%,2
Skymoon Ventures,0.01%,1
Skype,0.10%,13
Skype Labs,0.01%,1
Skype Technologies S.A.,0.04%,5
"Skype Technologies, S.A.",0.01%,1
Skyport Systems,0.01%,1
Skytide,0.01%,1
SkyWeyr Technologies,0.01%,1
SmartPipes,0.02%,3
SmartThings,0.01%,1
SMHS,0.02%,2
Smith Micro Software,0.01%,1
sn3rd,0.01%,1
SNA,0.01%,1
Snake Hill Labs,0.01%,1
SnapTell,0.01%,1
SNIA,0.01%,1
SNMP Research,0.04%,5
SNMPinfo,0.02%,2
snom,0.01%,1
snom technology AG,0.02%,2
SnowShore Networks,0.02%,2
SnT/Univ. of Luxembourg,0.01%,1
SnT/Univ. of Luxembourg/IPv6 Forum,0.01%,1
SNU,0.03%,4
Soaring Hawk,0.01%,1
Soaring Hawk Consulting,0.02%,2
Soba Yazılım A.Ş.,0.01%,1
Sockeye Networks,0.01%,1
Sockrate,0.01%,1
Soft Applications,0.01%,1
Softarmor Systems,0.01%,1
SoftAtHome,0.01%,1
SoftBank,0.08%,10
Softbank BB,0.02%,3
SoftBank Corp.,0.01%,1
Softbank Mobile,0.02%,2
SoftBank Mobile Corp.,0.01%,1
SoftBank Telecom,0.01%,1
SOFTBANK TELECOM Corp.,0.01%,1
SoftBank Telecom Japan,0.01%,1
Softfront,0.01%,1
Software AG,0.01%,1
Software Architect,0.01%,1
Software Engineering Institute,0.02%,3
Software Tool and Die,0.01%,1
Sohonet Limited,0.01%,1
Solacia,0.01%,1
Solbox,0.01%,1
SolidMatrix Technologies,0.01%,1
Solidum Systems Corporation,0.02%,3
Soluto by Asurion,0.01%,1
Solvit Chosun Media,0.01%,1
Somos,0.02%,2
Sonera,0.01%,1
Sonera Corporation,0.02%,2
Song Networks,0.01%,1
Song Xiao Lin,0.02%,2
Sonim Technologies,0.01%,1
Sonoa Systems,0.01%,1
Sonos,0.01%,1
Sonus,0.02%,3
Sonus Networks,0.04%,5
Sony,0.05%,7
Sony Computer Entertainment,0.01%,1
Sony Corporation,0.03%,4
Sony CSL,0.01%,1
SonyCSL,0.02%,2
Sookyoung Jeny Lee,0.01%,1
Soonchunhyang University,0.01%,1
SoongSil UNIV,0.01%,1
Soongsil Univ.,0.02%,3
Soongsil University,0.25%,33
Sorrento Networks,0.02%,3
Soumitra (Ronnie) Sarkar,0.01%,1
Sourcegraph,0.01%,1
SourceHut,0.01%,1
South China University of Technology,0.04%,5
South-east University,0.02%,2
Southeast University,0.13%,17
Southend Technical Center,0.01%,1
Southern Methodist University,0.04%,5
Southest University,0.01%,1
Southwestern Bell,0.01%,1
SoutnEast University,0.02%,2
SP Systems,0.01%,1
Spacely Packets,0.01%,1
Spacely Spackets,0.02%,2
SpaceNet,0.01%,1
SpaceNet AG,0.02%,2
Spam and Open Relay Blocking System,0.01%,1
spamfilt group,0.01%,1
SPARTA,0.12%,16
SPARTA/Cobham,0.01%,1
Special Research Centre for Optical,0.01%,1
Special Research Centre for Optical Internet and,0.02%,2
Spectracom Corporation,0.01%,1
Spectrum Bridge,0.02%,2
Speechworks,0.01%,1
Spherical Cow Consulting,0.01%,1
Spherical Cow Group,0.01%,1
Spider Software,0.01%,1
Spider Systems,0.01%,1
Spirent,0.01%,1
Spirent Communications,0.03%,4
SPIRIT DSP,0.04%,5
SPIRL,0.02%,2
Splio,0.01%,1
Splunk,0.01%,1
Spotify,0.01%,1
Spotify AB,0.01%,1
SpreeBytes,0.01%,1
SPRIND,0.01%,1
Springpath,0.01%,1
Sprint,0.11%,14
Sprint Nextel,0.02%,2
Sprint PCS,0.01%,1
Sproute Networks,0.02%,2
Spruce Systems,0.01%,1
Spyglass,0.03%,4
SPYRUS,0.05%,7
Square,0.02%,2
Squarespace,0.01%,1
SRA,0.01%,1
SRI,0.01%,1
SRI International,0.05%,6
Srinivasa Rao,0.01%,1
SRM University-AP,0.01%,1
SS8 Networks,0.02%,3
SSCI,0.01%,1
SSE,0.02%,2
SSE - Secure Systems Engineering,0.01%,1
SSH,0.04%,5
SSH Communications Security,0.04%,5
SSH Communications Security Corp,0.04%,5
SSSA,0.03%,4
SSTL,0.01%,1
SSU,0.01%,1
SSW,0.02%,2
St. Poelten UAS,0.02%,2
Stac Electronics,0.01%,1
Stac Technology,0.01%,1
Stairnote,0.01%,1
Stalworthy Computing,0.01%,1
Standard Velocity,0.01%,1
Standards & Open Source Research Division,0.02%,2
Standcore,0.01%,1
